indcode,corp,noncorp
110C,0.348516695,0.436127059
113F,0.127168974,0.150271717
2110,0.220557478,0.14854815
2120,0.323352777,0.219416047
2130,0.310332705,0.25726779
2200,0.4366373,0.285943744
2300,0.325723493,0.30095105
311A,0.374046436,0.275878223
313T,0.316740004,0.170231934
315A,0.476335653,0.221156423
3210,0.45240067,0.25156436
3220,0.319842594,0.29309795
3230,0.688447172,0.244353971
3240,0.197551829,0.1500461
3250,0.324703265,0.169293549
3260,0.467899778,0.235538864
3270,0.26746513,0.278781805
3310,0.360477636,0.336244434
3320,0.310355779,0.17316908
3330,0.304411854,0.151238199
3340,0.243615019,0.094237681
3350,0.394102384,0.217285386
336M,0.367167211,0.300760876
336O,0.362556772,0.253297557
3370,0.391734153,0.235188833
338A,0.383687341,0.151515568
4200,0.266104911,0.234673565
44RT,0.350385858,0.291155275
4810,0.797612713,0.577043703
4820,0.308394905,0.351023211
4830,0.408588909,0.205967282
4840,0.400168774,0.419903403
4850,0.463314152,0.603041434
4860,0.355137026,0.365112649
487S,0.434419023,0.377797744
4930,0.368127409,0.331416227
5110,0.27021788,0.52329606
5120,0.375241834,0.564835542
5130,0.318294155,0.204657
5140,0.216776704,0.154444227
5220,0.86743494,0.393065983
5230,0.114685498,0.031092907
5240,0.103293143,0.381034861
5250,0.047863261,0.016539558
5310,0.435888846,0.466932742
5320,0.476067567,0.424438913
5411,0.40575734,0.149798779
5415,0.329069878,0.255553632
5412,0.299974058,0.237711454
5500,0.242857742,0.121431955
5610,0.365370776,0.30888729
5620,0.466975266,0.389891288
6100,0.355039961,0.270986359
6210,0.582576439,0.458806692
622H,0.664511356,0.300527897
6230,0.80840404,0.852919696
6240,0.532831743,0.566945875
711A,0.470270954,0.49581383
7130,0.587656063,0.722168284
7210,0.657339439,0.691076142
7220,0.512331215,0.56092658
8100,0.3977707,0.612742786
