asset,corp,noncorp
EP1A,0.03,0.288
EP1B,0.03,0.288
EP1C,0.03,0.288
EP1D,0.03,0.288
EP1E,0.03,0.288
EP1F,0.03,0.288
EP1G,0.03,0.288
EP1H,0.03,0.288
EP20,0.03,0.288
EP34,0.03,0.288
EP35,0.03,0.288
EP36,0.03,0.288
EP31,0.03,0.288
EP12,0.03,0.288
EI11,0.03,0.288
EI12,0.03,0.288
EI21,0.03,0.288
EI22,0.03,0.288
EI30,0.03,0.288
EI40,0.03,0.288
EI50,0.03,0.288
EI60,0.03,0.288
ET11,0.03,0.288
ET12,0.03,0.288
ET20,0.03,0.288
ET30,0.03,0.288
ET40,0.03,0.288
ET50,0.03,0.288
EO12,0.03,0.288
EO30,0.03,0.288
EO21,0.03,0.288
EO40,0.03,0.288
EO22,0.03,0.288
EO50,0.03,0.288
EO60,0.03,0.288
EO72,0.03,0.288
EO80,0.03,0.288
SOO1,0,0
SB31,0,0
SB32,0,0
SOO2,0,0
SC03,0,0
SC04,0,0
SC01,0,0
SOMO,0,0
SC02,0,0
SI00,0,0
SU30,0.03,0.288
SU60,0.03,0.288
SU40,0.03,0.288
SU50,0.03,0.288
SU20,0.03,0.288
SM01,0.03,0.288
SM02,0.03,0.288
SB20,0,0
SB41,0,0
SB42,0,0
SB43,0.03,0.288
SB45,0.03,0.288
SU11,0.03,0.288
SU12,0.03,0.288
SB44,0.03,0.288
SB46,0.03,0.288
SN00,0.03,0.288
SO01,0.03,0.288
SO02,0.03,0.288
SO03,0.03,0.288
SO04,0.03,0.288
ENS1,0.03,0.288
ENS2,0,0
ENS3,0,0
RD11,0,0
RD12,0,0
RD23,0,0
RD21,0,0
RD22,0,0
RD24,0,0
RD25,0,0
RD31,0,0
RD32,0,0
RDOM,0,0
RD70,0,0
RD40,0,0
RD50,0,0
RD60,0,0
RD80,0,0
AE10,0,0
AE20,0,0
AE30,0,0
AE40,0,0
AE50,0,0
RES,0,0
